#,Transact. No.,Symbol,Buyer,Seller,Quantity,Rate,Amount
1,2023072005003915,NIFRA,49,29,749,224.00,"167,776.00"
2,2023072005003914,NIFRA,16,29,465,224.00,"104,160.00"
3,2023072005003913,NIFRA,41,29,10,224.00,"2,240.00"
4,2023072005003912,NIFRA,45,29,500,224.00,"112,000.00"
5,2023072005003911,NIFRA,42,29,376,224.00,"84,224.00"
6,2023072005003910,NIFRA,52,29,100,224.30,"22,430.00"
7,2023072005003909,CHDC,39,25,10,965.00,"9,650.00"
8,2023072005003908,HIDCL,40,45,96,184.80,"17,740.80"
9,2023072005003907,CIT,42,41,10,"2,118.10","21,181.00"
10,2023072005003906,CHDC,39,28,30,968.00,"29,040.00"
11,2023072005003905,STC,39,38,10,"5,480.00","54,800.00"
12,2023072005003904,NRIC,47,50,10,740.00,"7,400.00"
13,2023072005003903,ENL,39,38,10,739.90,"7,399.00"
14,2023072005003902,NIFRA,4,57,"1,000",225.00,"225,000.00"
15,2023072005003901,NIFRA,16,6,10,224.50,"2,245.00"
16,2023072005003900,CHDC,57,28,10,968.00,"9,680.00"
17,2023072005003899,ENL,14,59,24,749.70,"17,992.80"
18,2023072005003898,ENL,14,39,200,749.00,"149,800.00"
19,2023072005003897,ENL,14,58,20,749.00,"14,980.00"
20,2023072005003896,ENL,14,59,20,749.00,"14,980.00"
21,2023072005003895,ENL,14,25,10,749.00,"7,490.00"
22,2023072005003894,ENL,14,51,110,746.00,"82,060.00"
23,2023072005003893,ENL,14,22,100,745.00,"74,500.00"
24,2023072005003892,ENL,14,28,516,740.00,"381,840.00"
25,2023072005003891,NTC,34,59,10,912.00,"9,120.00"
26,2023072005003890,NICGF,21,43,100,10.38,"1,038.00"
27,2023072005003889,NTC,22,59,20,912.00,"18,240.00"
28,2023072005003888,NRIC,41,34,50,740.00,"37,000.00"
29,2023072005003887,STC,3,16,49,"5,460.00","267,540.00"
30,2023072005003886,STC,3,4,41,"5,460.00","223,860.00"
31,2023072005003885,STC,3,44,10,"5,450.00","54,500.00"
32,2023072005003884,STC,19,44,20,"5,450.00","109,000.00"
33,2023072005003883,NIFRA,6,6,50,224.90,"11,245.00"
34,2023072005003882,NRN,28,55,113,508.00,"57,404.00"
35,2023072005003881,NRN,46,55,27,508.10,"13,718.70"
36,2023072005003880,NRN,7,55,260,508.30,"132,158.00"
37,2023072005003879,CIT,35,41,10,"2,118.10","21,181.00"
38,2023072005003878,HIDCL,57,55,100,184.90,"18,490.00"
39,2023072005003877,HIDCL,49,55,25,184.90,"4,622.50"
40,2023072005003876,NIFRA,6,34,250,224.90,"56,225.00"
41,2023072005003875,NIFRA,36,36,151,224.50,"33,899.50"
42,2023072005003874,NIFRA,42,4,124,224.00,"27,776.00"
43,2023072005003873,NIFRA,50,4,66,224.00,"14,784.00"
44,2023072005003872,NIFRA,3,4,300,224.10,"67,230.00"
45,2023072005003871,NIFRA,51,4,500,224.30,"112,150.00"
46,2023072005003870,NRIC,11,46,10,738.00,"7,380.00"
47,2023072005003869,NRIC,19,34,34,740.00,"25,160.00"
48,2023072005003868,ENL,39,29,10,739.90,"7,399.00"
49,2023072005003867,ENL,39,38,10,735.00,"7,350.00"
50,2023072005003866,CIT,26,58,23,"2,117.50","48,702.50"
51,2023072005003865,CIT,32,58,12,"2,118.00","25,416.00"
52,2023072005003864,CIT,48,58,50,"2,118.00","105,900.00"
53,2023072005003863,CIT,16,58,10,"2,118.00","21,180.00"
54,2023072005003862,CIT,10,58,35,"2,118.00","74,130.00"
55,2023072005003861,NIFRA,32,36,10,224.50,"2,245.00"
56,2023072005003860,NIFRA,36,46,450,224.50,"101,025.00"
57,2023072005003859,KEF,16,39,"1,000",9.13,"9,130.00"
58,2023072005003858,CHDC,49,28,10,970.00,"9,700.00"
59,2023072005003857,CHDC,49,29,100,969.90,"96,990.00"
60,2023072005003856,HIDCL,40,34,30,184.80,"5,544.00"
61,2023072005003855,STC,48,13,50,"5,440.00","272,000.00"
62,2023072005003854,STC,45,13,11,"5,445.00","59,895.00"
63,2023072005003853,SFMF,58,10,100,11.23,"1,123.00"
64,2023072005003852,HIDCL,56,55,10,184.90,"1,849.00"
65,2023072005003851,NIFRA,50,57,196,224.00,"43,904.00"
66,2023072005003850,NIFRA,43,57,154,224.10,"34,511.40"
67,2023072005003849,CIT,33,41,10,"2,118.10","21,181.00"
68,2023072005003848,NTC,45,36,10,913.00,"9,130.00"
69,2023072005003847,HIDCL,38,55,"1,000",184.90,"184,900.00"
70,2023072005003846,CHDC,14,38,10,961.10,"9,611.00"
71,2023072005003845,NIFRA,43,51,12,224.10,"2,689.20"
72,2023072005003844,NICFC,47,22,200,9.30,"1,860.00"
73,2023072005003843,STC,45,13,39,"5,445.00","212,355.00"
74,2023072005003842,STC,43,13,10,"5,445.00","54,450.00"
75,2023072005003841,STC,26,13,10,"5,450.00","54,500.00"
